user,text,hashtags,likes,timestamp
@lucas,Me encanta programar y descubrir nuevas librerías,#dev,137,2025-10-07 11:00:00
@ana,La inteligencia artificial está cambiando el mundo,#tech #trend #ai,184,2025-10-10 16:00:00
@juan,Me encanta programar y descubrir nuevas librerías,#cloud #nlp,141,2025-10-05 06:00:00
@ana,Me encanta programar y descubrir nuevas librerías,#data #nlp #cloud,140,2025-10-01 09:00:00
@juan,Reflexiones sobre el futuro del machine learning,#trend #tech,119,2025-10-15 14:00:00
@leo,Reflexiones sobre el futuro del machine learning,#science #data #ai,72,2025-10-17 21:00:00
@leo,Los hashtags pueden ayudar a viralizar contenido en redes,#ai #ml,172,2025-10-10 07:00:00
@maria,Nuevo tutorial sobre análisis de datos con pandas y matplotlib,#python,62,2025-10-16 19:00:00
@lucas,¿Sabías que puedes analizar tus redes sociales con Python?,#trend #ml,183,2025-10-13 15:00:00
@ana,Reflexiones sobre el futuro del machine learning,#python,192,2025-10-04 13:00:00
@maria,Nuevo tutorial sobre análisis de datos con pandas y matplotlib,#dev #science #python,142,2025-10-08 03:00:00
@ana,Nuevo tutorial sobre análisis de datos con pandas y matplotlib,#dev #trend,152,2025-10-11 14:00:00
@sofia,Comparando modelos de clasificación en scikit-learn,#dev #science,40,2025-10-16 14:00:00
@juan,Reflexiones sobre el futuro del machine learning,#nlp #dev #science,160,2025-10-08 08:00:00
@ana,La inteligencia artificial está cambiando el mundo,#nlp #ml #trend,85,2025-10-11 17:00:00
@lucas,Nuevo tutorial sobre análisis de datos con pandas y matplotlib,#ml,98,2025-10-05 22:00:00
@maria,La inteligencia artificial está cambiando el mundo,#cloud #tech,138,2025-10-15 13:00:00
@lucas,Reflexiones sobre el futuro del machine learning,#cloud #python,195,2025-10-19 12:00:00
@ana,Aprendiendo #python con proyectos reales,#nlp #cloud,107,2025-10-18 23:00:00
@leo,Comparando modelos de clasificación en scikit-learn,#ml #science #trend,69,2025-10-14 15:00:00
@lucas,Me encanta programar y descubrir nuevas librerías,#cloud #data,119,2025-10-05 19:00:00
@sofia,Aprendiendo #python con proyectos reales,#trend #python,21,2025-10-21 13:00:00
@maria,¿Sabías que puedes analizar tus redes sociales con Python?,#python,66,2025-10-13 10:00:00
@maria,¿Sabías que puedes analizar tus redes sociales con Python?,#tech #cloud,71,2025-10-14 08:00:00
@lucas,¿Sabías que puedes analizar tus redes sociales con Python?,#dev,13,2025-10-12 07:00:00
@leo,La inteligencia artificial está cambiando el mundo,#python #trend #ml,51,2025-10-01 19:00:00
@maria,Reflexiones sobre el futuro del machine learning,#science,171,2025-10-04 18:00:00
@maria,¿Sabías que puedes analizar tus redes sociales con Python?,#nlp #tech #data,155,2025-10-20 23:00:00
@leo,La inteligencia artificial está cambiando el mundo,#nlp,27,2025-10-19 00:00:00
@juan,Los hashtags pueden ayudar a viralizar contenido en redes,#cloud #trend #ml,19,2025-10-19 22:00:00
@leo,Reflexiones sobre el futuro del machine learning,#nlp,175,2025-10-20 03:00:00
@sofia,Aprendiendo #python con proyectos reales,#dev #cloud,169,2025-10-12 02:00:00
@sofia,Explorando nuevas tendencias tecnológicas para 2025,#cloud,125,2025-10-04 13:00:00
@juan,¿Sabías que puedes analizar tus redes sociales con Python?,#data #cloud #trend,187,2025-10-17 20:00:00
@juan,Los hashtags pueden ayudar a viralizar contenido en redes,#science #trend #cloud,187,2025-10-19 08:00:00
@juan,Reflexiones sobre el futuro del machine learning,#nlp,115,2025-10-08 14:00:00
@sofia,Los hashtags pueden ayudar a viralizar contenido en redes,#cloud #tech #python,126,2025-10-11 05:00:00
@ana,Reflexiones sobre el futuro del machine learning,#nlp #tech,71,2025-10-20 22:00:00
